,30 SEP '25,30 JUN '25,31 MAR '25,31 DEC '24,30 SEP '24,30 JUN '24,31 MAR '24,31 DEC '23,30 SEP '23,30 JUN '23,31 MAR '23,31 DEC '22,30 SEP '22,30 JUN '22,31 MAR '22,31 DEC '21,30 SEP '21,30 JUN '21,31 MAR '21,31 DEC '20,30 SEP '20,30 JUN '20,31 MAR '20,31 DEC '19,30 SEP '19,30 JUN '19,31 MAR '19,31 DEC '18,30 SEP '18,30 JUN '18,31 MAR '18,31 DEC '17,30 SEP '17,30 JUN '17,31 MAR '17,31 DEC '16,30 SEP '16,30 JUN '16,31 MAR '16,31 DEC '15,30 SEP '15,30 JUN '15,31 MAR '15,31 DEC '14,30 SEP '14,30 JUN '14,31 MAR '14,31 DEC '13,30 SEP '13,30 JUN '13,31 MAR '13,31 DEC '12,30 SEP '12,30 JUN '12,31 MAR '12,31 DEC '11,30 SEP '11,30 JUN '11,31 MAR '11,31 DEC '10,30 SEP '10,30 JUN '10,31 MAR '10,31 DEC '09,30 SEP '09,30 JUN '09,31 MAR '09,31 DEC '08,30 SEP '08,30 JUN '08,31 MAR '08,31 DEC '07,31 DEC '06,31 DEC '05,31 DEC '04
Deposits,"-15,458","-10,270","-5,209","-24,282","-18,405","-11,960","-5,811","-16,503","-11,174","-6,566","-2,761","-2,349",-754,-241,-83,-388,-303,-204,-112,"-2,804","-2,641","-2,327","-1,742","-8,635","-6,563","-4,239","-2,026","-5,622","-3,857","-2,358","-1,090","-3,013","-2,082","-1,213",-536,"-1,395",-995,-639,-307,-963,-722,-490,-258,"-1,096",-827,-554,-279,"-1,337","-1,040",-722,-369,"-1,727","-1,328",-900,-457,"-2,275","-1,768","-1,209",-615,"-2,832","-2,170","-1,449",-735,"-3,774","-2,861","-1,956",-999,"-4,521","-3,676","-2,657","-1,594","-8,152","-7,174","-3,848","-1,827"
Short-term borrowings,"-5,313","-2,974","-1,362","-5,311","-4,030","-2,595","-1,218","-3,848","-2,664","-1,531",-570,-582,-175,-17,14,41,28,21,9,-250,-262,-274,-291,"-2,316","-1,877","-1,242",-596,"-1,717","-1,171",-709,-311,-758,-503,-277,-114,-330,-229,-144,-67,-64,-51,-39,-18,-59,-41,-26,-12,-60,-46,-37,-20,-79,-55,-36,-16,-80,-66,-46,-26,-92,-66,-39,-18,-222,-210,-178,-123,"-1,478","-1,274",-782,-425,"-1,245",-992,-744,-353
Long-term debt,"-7,784","-5,191","-2,582","-12,463","-9,676","-6,513","-3,349","-11,572","-8,243","-5,204","-2,511","-5,505","-3,325","-1,772",-761,"-3,173","-2,483","-1,738","-1,026","-4,471","-3,515","-2,477","-1,240","-7,350","-5,607","-3,827","-1,927","-6,703","-4,901","-3,234","-1,576","-5,157","-3,813","-2,422","-1,147","-3,830","-2,769","-1,763",-842,"-2,592","-1,879","-1,224",-604,"-2,488","-1,868","-1,239",-619,"-2,585","-1,950","-1,329",-697,"-3,110","-2,375","-1,619",-830,"-3,978","-3,093","-2,113","-1,104","-4,888","-3,735","-2,509","-1,276","-5,782","-4,565","-3,264","-1,779","-3,756","-2,801","-1,919","-1,070","-4,806","-4,122","-2,866","-1,637"
Other interest expense,"-1,004",-655,-325,"-1,045",-771,-506,-235,-820,-594,-386,-178,-638,-460,-288,-130,-395,-298,-210,-109,-438,-350,-258,-142,-551,-410,-275,-143,-610,-446,-282,-132,-424,-309,-200,-92,-354,-260,-172,-89,-357,-269,-180,-97,-382,-286,-180,-87,-307,-220,-140,-65,-245,-189,-129,-64,-316,-236,-159,-76,-227,-162,-104,-49,-172,-122,-76,-36,0,0,0,0,0,,,
Net interest income,"35,153","23,203","11,495","47,676","35,840","24,150","12,227","52,375","39,604","26,499","13,336","44,950","31,517","19,419","9,221","35,779","26,517","17,608","8,808","39,956","30,601","21,222","11,312","47,303","36,031","24,406","12,311","49,995","37,351","24,779","12,238","49,557","37,244","24,795","12,324","47,754","35,352","23,400","11,667","45,301","33,713","22,256","10,986","43,527","32,347","21,406","10,615","42,800","31,997","21,249","10,499","43,230","32,587","21,925","10,888","42,763","31,871","21,329","10,651","44,757","33,694","22,596","11,147","46,324","34,824","23,140","11,376","25,143","18,419","12,038","5,760","20,974","19,951","18,504","17,150"
Debt securities,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans,,,,,,,,,,,,,,,,,,,,,,,,,"-2,043","-1,348",-845,,"-1,223",-643,-191,"-2,528","-1,877","-1,160",-605,"-3,770","-2,965","-2,160","-1,086","-2,442","-1,611",-908,-608,"-1,395",-910,-542,-325,"-2,309","-1,946","-1,871","-1,219","-7,217","-5,386","-3,795","-1,995","-7,899","-5,859","-4,048","-2,210","-15,753","-12,764","-9,319","-5,330","-21,668","-15,755","-9,644","-4,558","-15,979","-7,535","-5,040","-2,028","-4,939","-2,204","-2,383","-1,717"
Net interest income after provision for credit losses,"35,153","23,203","11,495","47,676","35,840","24,150","12,227","52,375","39,604","26,499","13,336","44,950","31,517","19,419","9,221","35,779","26,517","17,608","8,808","39,956","30,601","21,222","11,312","47,303","33,988","23,058","11,466","49,995","36,128","24,136","12,047","47,029","35,367","23,635","11,719","43,984","32,387","21,240","10,581","42,859","32,102","21,348","10,378","42,132","31,437","20,864","10,290","40,491","30,051","19,378","9,280","36,013","27,201","18,130","8,893","34,864","26,012","17,281","8,441","29,004","20,930","13,277","5,817","24,656","19,069","13,496","6,818","9,164","10,884","6,998","3,732","16,035","17,747","16,121","15,433"
Total noninterest income,"27,254","17,768","8,654","34,620","26,078","17,402","8,636","30,222","22,515","14,763","7,393","29,418","22,817","15,349","8,507","43,387","31,119","21,194","9,724","34,308","25,174","15,237","6,405","39,529","29,172","18,787","9,298","36,413","28,077","18,708","9,696","38,832","29,095","19,695","9,931","40,513","31,333","20,957","10,528","40,756","30,758","20,340","10,292","40,820","30,557","20,285","10,010","40,980","31,118","21,388","10,760","42,856","31,551","21,000","10,748","38,185","28,472","19,386","9,678","40,453","30,022","20,246","10,301","42,362","31,166","20,384","9,641","16,734","13,981","9,985","4,803","18,546","15,740","14,445","12,909"
Deposit and lending-related fees,"4,929","3,255","1,633","6,515","4,890","3,215","1,597","6,140","4,572","3,021","1,504","6,713","5,191","3,544","1,815","6,920","5,101","3,320","1,616","6,602","4,913","3,262","1,797","7,293","5,405","2,300","1,094","7,369","3,540","2,336","1,173","5,111","3,865","2,589","1,313","5,372","4,015","2,645","1,309","5,168","3,839","2,504","1,215","5,050","3,809","2,498","1,215","5,023","3,740","2,462","1,214","4,683","3,433","2,223","1,084","4,280","3,189","2,086","1,012","4,916","3,881","2,749","1,332","5,741","4,320","2,842","1,394","3,190","2,387","1,548",748,"3,050","2,690","2,512","2,417"
