,30 SEP '25,30 JUN '25,31 MAR '25,31 DEC '24,30 SEP '24,30 JUN '24,31 MAR '24,31 DEC '23,30 SEP '23,30 JUN '23,31 MAR '23,31 DEC '22,30 SEP '22,30 JUN '22,31 MAR '22,31 DEC '21,30 SEP '21,30 JUN '21,31 MAR '21,31 DEC '20,30 SEP '20,30 JUN '20,31 MAR '20,31 DEC '19,30 SEP '19,30 JUN '19,31 MAR '19,31 DEC '18,30 SEP '18,30 JUN '18,31 MAR '18,31 DEC '17,30 SEP '17,30 JUN '17,31 MAR '17,31 DEC '16,30 SEP '16,30 JUN '16,31 MAR '16,31 DEC '15,30 SEP '15,30 JUN '15,31 MAR '15,31 DEC '14,30 SEP '14,30 JUN '14,31 MAR '14,31 DEC '13,30 SEP '13,30 JUN '13,31 MAR '13,31 DEC '12,30 SEP '12,30 JUN '12,31 MAR '12,31 DEC '11,30 SEP '11,30 JUN '11,31 MAR '11,31 DEC '10,30 SEP '10,30 JUN '10,31 MAR '10,31 DEC '09,30 SEP '09,30 JUN '09,31 MAR '09,31 DEC '08,30 SEP '08,30 JUN '08,31 MAR '08,31 DEC '07,31 DEC '06,31 DEC '05,31 DEC '04
Employee benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,938",,"-4,220","-2,843","-1,598","-5,566","-4,273","-2,994","-1,686","-5,094","-3,993","-2,770","-1,526","-4,446","-3,404","-2,583","-1,477","-4,597","-3,473","-2,542","-1,372","-5,033","-3,873","-2,701","-1,583","-4,611","-3,720","-2,657","-1,608","-4,348","-3,336","-2,556","-1,392","-4,651","-3,459","-2,385","-1,322","-4,689","-3,545","-2,511","-1,284","-2,004","-1,666","-1,180",-587,"-2,322","-2,035","-1,874","-1,724"
"Technology, telecommunications and equipment","-3,829","-2,510","-1,223","-4,583","-3,301","-2,159","-1,053","-3,920","-2,844","-1,869",-922,"-3,375","-2,473","-1,675",-876,"-3,227","-2,400","-1,659",-844,"-3,099","-2,261","-1,470",-798,"-3,276","-2,340","-1,335",-661,"-2,903","-1,801","-1,167",-617,"-2,237","-1,629","-1,106",-577,"-2,154","-1,512","-1,021",-528,"-2,063","-1,423",-964,-494,"-1,973","-1,392",-935,-490,"-1,984","-1,417",-946,-528,"-2,068","-1,526","-1,016",-557,"-2,283","-1,676","-1,160",-632,"-2,636","-1,823","-1,266",-678,"-2,506","-1,825","-1,262",-687,"-1,357",-955,-653,-348,"-1,294","-1,252","-1,267","-1,236"
Net occupancy,"-2,311","-1,527",-761,"-3,052","-2,263","-1,477",-714,"-2,884","-2,144","-1,420",-713,"-2,881","-2,159","-1,427",-722,"-2,968","-2,243","-1,505",-770,"-3,263","-2,437","-1,586",-715,"-2,945","-2,196","-1,436",-717,"-2,888","-2,153","-1,435",-713,"-2,849","-2,134","-1,418",-712,"-2,855","-2,145","-1,427",-711,"-2,886","-2,161","-1,433",-723,"-2,925","-2,195","-1,464",-742,"-2,895","-2,163","-1,435",-719,"-2,857","-2,129","-1,402",-704,"-3,011","-2,252","-1,501",-752,"-3,030","-2,280","-1,538",-796,"-3,127","-2,357","-1,579",-796,"-1,619","-1,201",-799,-399,"-1,545","-1,405","-1,412","-1,208"
Operating losses,-739,-454,-143,"-1,757","-1,419","-1,126",-633,"-1,183",-828,-499,-267,"-6,984","-3,467","-1,249",-673,"-1,568","-1,056",-516,-213,"-3,523","-2,902","-1,683",-464,"-4,321","-2,405",,,"-3,124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professional and outside services,"-3,304","-2,127","-1,038","-4,607","-3,370","-2,240","-1,101","-5,085","-3,843","-2,533","-1,229","-5,188","-3,831","-2,596","-1,286","-5,723","-4,255","-2,838","-1,388","-6,706","-5,042","-3,282","-1,606","-6,745","-4,956",,,"-6,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advertising and promotion,-742,-447,-181,-869,-626,-421,-197,-812,-553,-338,-154,-505,-327,-201,-99,-600,-375,-222,-90,-600,-462,-318,-181,"-1,076",-832,,,-857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restructuring charges,,,,,,,,,,,,,-5,-5,-5,,-10,-9,-13,"-1,499",-718,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-630,-635,-633
Core deposit and other intangibles,,,,,,,,,,,,,,,,,,,,,,,,,,-55,-28,,-794,-530,-265,"-1,152",-864,-576,-289,"-1,192",-891,-592,-293,"-1,246",-935,-624,-312,"-1,370","-1,032",-690,-341,"-1,504","-1,129",-754,-377,"-1,674","-1,256",-837,-419,"-1,880","-1,413",-947,-483,"-2,199","-1,650","-1,102",-549,"-2,577","-1,935","-1,293",-647,-186,-139,-92,-46,-158,,,
FDIC and other deposit assessments,,,,,,,,,,,,,,,,,,,,,,,,,,-303,-159,,-957,-621,-324,"-1,287",-975,-661,-333,"-1,168",-815,-505,-250,-973,-715,-470,-248,-928,-697,-468,-243,-961,-765,-551,-292,"-1,356","-1,049",-690,-357,"-1,266",-952,-620,-305,"-1,197",-896,-596,-301,"-1,849","-1,547","-1,319",-338,-120,-63,-26,-8,-34,,,
Other,"-2,987","-2,022","-1,071","-4,001","-3,061","-2,141","-1,148","-5,849","-2,916","-1,983",-976,"-3,932","-2,832","-1,847",-919,"-4,131","-3,228","-2,205","-1,113","-4,129","-3,143","-2,021",-961,"-4,687","-3,526","-6,554","-3,143","-6,681","-11,736","-8,190","-4,394","-17,588","-11,072","-6,750","-3,209","-13,115","-9,678","-6,195","-3,039","-12,125","-9,020","-5,824","-2,717","-11,899","-8,776","-5,659","-2,616","-11,362","-8,465","-5,634","-2,661","-13,639","-9,729","-6,711","-3,330","-13,286","-9,894","-6,868","-3,368","-14,182","-10,155","-6,881","-3,165","-12,494","-8,803","-5,843","-2,856","-6,376","-4,667","-3,073","-1,426","-6,347","-5,623","-5,249","-5,572"
Leases,,,,,,,,,,,,,,,,,,,,,,,,,-869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other excluding leases,,,,,,,,,,,,,,,,,,,,,,,,,"-2,657",,"-3,143",,"-11,736","-8,190","-4,394",,"-11,072","-6,750","-3,209","-13,115","-9,678","-6,195","-3,039","-12,125","-9,020","-5,824","-2,717","-11,899","-8,776","-5,659","-2,616","-11,362","-8,465","-5,634","-2,661","-13,639","-9,729","-6,711","-3,330","-13,286","-9,894","-6,868","-3,368","-14,182","-10,155","-6,881","-3,165","-12,494","-8,803","-5,843","-2,856","-6,376","-4,667","-3,073","-1,426","-6,347","-5,623","-5,249","-5,572"
Income / loss before income tax expense / benefit,"18,673","11,764","5,326","23,364","17,981","11,747","5,587","21,636","18,226","11,679","5,846","15,629","12,738","8,262","4,664","29,563","20,706","13,780","5,591","2,505","-1,361","-4,679",664,"25,967","20,596","14,480","6,848","28,538","21,418","13,820","6,701","27,377","22,778","15,997","7,858","32,120","24,558","16,303","8,081","33,641","25,485","16,712","8,163","33,915","25,604","17,007","8,352","32,629","24,412","16,111","7,640","28,471","21,250","13,740","6,648","23,656","17,599","11,459","5,386","19,001","13,836","8,660","4,001","17,998","14,036","9,365","4,641","3,300","8,077","5,696","3,093","11,835","12,650","11,548","10,769"
Income tax expense / benefit,"-2,738","-1,438",-522,"-3,399","-3,279","-2,215",-964,"-2,607","-2,707","-1,896",-966,"-2,251","-2,280","-1,368",-746,"-5,764","-3,867","-2,346",-901,"1,157","1,731","1,648",-159,"-5,761","-3,479","-2,175",-881,"-5,662","-4,696","-3,184","-1,374","-4,917","-6,559","-4,378","-2,133","-10,075","-7,817","-5,216","-2,567","-10,365","-7,832","-5,042","-2,279","-10,307","-7,788","-5,146","-2,277","-10,405","-7,901","-5,283","-2,420","-9,103","-7,179","-4,699","-2,328","-7,445","-5,571","-3,573","-1,572","-6,338","-4,666","-2,915","-1,401","-5,331","-4,382","-3,027","-1,552",-602,"-2,638","-1,908","-1,074","-3,570","-4,230","-3,877","-3,755"
Net income / loss before noncontrolling interests,"15,935","10,326","4,804","19,965","14,702","9,532","4,623","19,029","15,519","9,783","4,880","13,378","10,458","6,894","3,918","23,799","16,839","11,434","4,690","3,662",370,"-3,031",505,"20,206","17,117","12,305","5,967","22,876","16,722","10,636","5,327","22,460","16,219","11,619","5,725","22,045","16,741","11,087","5,514","23,276","17,653","11,670","5,884","23,608","17,816","11,861","6,075","22,224","16,511","10,828","5,220","19,368","14,071","9,041","4,320","16,211","12,028","7,886","3,814","12,663","9,170","5,745","2,600","12,667","9,654","6,338","3,089","2,698","5,439","3,788","2,019","8,265","8,420","7,671","7,014"
Net income / loss from noncontrolling interests,42,62,90,-243,-59,-3,-4,113,177,146,111,299,64,36,-130,"-1,690","-1,041",-758,-54,-285,-84,101,148,-491,-441,-239,-107,-483,-393,-314,-191,-277,-187,-129,-91,-107,-77,-67,-52,-382,-334,-147,-80,-551,-468,-242,-182,-346,-243,-138,-49,-471,-264,-171,-72,-342,-266,-179,-55,-301,-222,-136,-53,-392,-202,-121,-44,-43,-50,-36,-20,-208,,,
Wells Fargo net income / loss,"15,977","10,388","4,894","19,722","14,643","9,529","4,619","19,142","15,696","9,929","4,991","13,677","10,522","6,930","3,788","22,109","15,798","10,676","4,636","3,377",286,"-2,930",653,"19,715","16,676","12,066","5,860","22,393","16,329","10,322","5,136","22,183","16,032","11,490","5,634","21,938","16,664","11,020","5,462","22,894","17,319","11,523","5,804","23,057","17,348","11,619","5,893","21,878","16,268","10,690","5,171","18,897","13,807","8,870","4,248","15,869","11,762","7,707","3,759","12,362","8,948","5,609","2,547","12,275","9,452","6,217","3,045","2,655","5,389","3,752","1,999","8,057","8,420","7,671","7,014"
Preferred stock dividends and other,-806,-558,-278,"-1,116",-838,-576,-306,"-1,160",-874,-557,-278,"-1,115",-837,-558,-279,"-1,291","-1,012",-677,-380,"-1,591","-1,241",-926,-611,"-1,612","-1,284",-711,-353,"-1,704","-1,351",-797,-403,"-1,629","-1,218",-807,-401,"-1,565","-1,163",-762,-377,"-1,424","-1,052",-699,-343,"-1,236",-909,-588,-286,-989,-748,-487,-240,-898,-665,-445,-226,-844,-625,-409,-189,-730,-548,-359,-175,"-4,285","-1,856","-1,258",-661,-286,,0,0,0,0,,
Wells Fargo net income / loss applicable to common stock,"15,171","9,830","4,616","18,606","13,805","8,953","4,313","17,982","14,822","9,372","4,713","12,562","9,685","6,372","3,509","20,818","14,786","9,999","4,256","1,786",-955,"-3,856",42,"18,103","15,392","11,355","5,507","20,689","14,978","9,525","4,733","20,554","14,814","10,683","5,233","20,373","15,501","10,258","5,085","21,470","16,267","10,824","5,461","21,821","16,439","11,031","5,607","20,889","15,520","10,203","4,931","17,999","13,142","8,425","4,022","15,025","11,137","7,298","3,570","11,632","8,400","5,250","2,372","7,990","7,596","4,959","2,384","2,369","5,389","3,752","1,999","8,057","8,420","7,671","7,014"
Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic,4.69,3.02,1.41,5.43,3.99,2.56,1.21,4.88,3.99,2.50,1.24,3.30,2.54,1.67,0.92,5.13,3.60,2.42,1.03,0.43,-0.23,-0.94,0.01,4.12,3.45,2.52,1.21,4.31,3.09,1.95,0.97,4.14,2.97,2.14,1.05,4.03,3.06,2.02,1.00,4.18,3.16,2.10,1.06,4.17,3.13,2.09,1.07,3.95,2.93,1.93,0.93,3.40,2.48,1.59,0.76,2.85,2.11,1.38,0.68,2.23,1.61,1.01,0.46,1.76,1.70,1.14,0.56,0.70,1.63,1.13,0.61,2.41,2.50,2.27,2.07
Diluted,4.64,2.98,1.39,5.37,3.94,2.53,1.20,4.83,3.96,2.48,1.23,3.27,2.52,1.66,0.91,5.08,3.57,2.40,1.02,0.43,-0.23,-0.94,0.01,4.09,3.43,2.50,1.20,4.28,3.07,1.94,0.96,4.10,2.94,2.11,1.03,3.99,3.03,2.00,0.99,4.12,3.12,2.07,1.04,4.10,3.08,2.06,1.05,3.89,2.89,1.90,0.92,3.36,2.45,1.57,0.75,2.82,2.09,1.37,0.67,2.21,1.60,1.00,0.45,1.75,1.69,1.13,0.56,0.70,1.62,1.13,0.60,2.38,2.47,2.25,2.05
Weighted average shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic,"3,231.4","3,256.4","3,280.4","3,426.1","3,464.1","3,504.2","3,560.1","3,688.3","3,710.9","3,742.6","3,785.6","3,805.2","3,807.0","3,812.3","3,831.1","4,061.9","4,107.1","4,132.9","4,141.3","4,118.0","4,111.4","4,105.2","4,104.8","4,393.1","4,459.1","4,510.2","4,551.5","4,799.7","4,844.8","4,875.7","4,885.7","4,964.6","4,982.1","4,999.2","5,008.6","5,052.8","5,061.9","5,071.3","5,075.7","5,136.5","5,145.9","5,156.1","5,160.4","5,237.2","5,252.2","5,265.6","5,262.8","5,287.3","5,293.0","5,291.9","5,279.0","5,287.6","5,292.7","5,294.9","5,282.6","5,278.1","5,280.2","5,282.7","5,278.8","5,226.8","5,216.9","5,205.1","5,190.4","4,545.2","4,471.2","4,365.9","4,247.4","3,378.1","3,309.6","3,306.1","3,302.4","3,348.5","3,368.3","3,372.5","3,384.4"
Diluted,"3,270.3","3,294.2","3,321.6","3,467.6","3,503.5","3,543.2","3,600.1","3,720.4","3,741.6","3,772.4","3,818.7","3,837.0","3,838.5","3,845.0","3,868.9","4,096.2","4,140.0","4,164.6","4,171.0","4,134.2","4,111.4","4,105.2","4,135.3","4,425.4","4,489.5","4,540.1","4,584.0","4,838.4","4,885.0","4,916.1","4,930.7","5,017.3","5,035.4","5,054.8","5,070.4","5,108.3","5,118.2","5,129.8","5,139.4","5,209.8","5,220.3","5,233.2","5,243.6","5,324.4","5,339.2","5,353.2","5,353.3","5,371.2","5,374.7","5,369.9","5,353.5","5,351.5","5,355.7","5,354.3","5,337.8","5,323.4","5,325.6","5,329.9","5,333.1","5,263.1","5,252.9","5,243.0","5,225.2","4,562.7","4,485.3","4,375.1","4,249.3","3,391.3","3,323.4","3,319.6","3,317.9","3,382.8","3,410.1","3,410.9","3,426.7"
All figures in millions of U.S. Dollar except per share items.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
