,30 SEP '25,30 JUN '25,31 MAR '25,31 DEC '24,30 SEP '24,30 JUN '24,31 MAR '24,31 DEC '23,30 SEP '23,30 JUN '23,31 MAR '23,31 DEC '22,30 SEP '22,30 JUN '22,31 MAR '22,31 DEC '21,30 SEP '21,30 JUN '21,31 MAR '21,31 DEC '20,30 SEP '20,30 JUN '20,31 MAR '20,31 DEC '19,30 SEP '19,30 JUN '19,31 MAR '19,31 DEC '18,30 SEP '18,30 JUN '18,31 MAR '18,31 DEC '17,30 SEP '17,30 JUN '17,31 MAR '17,31 DEC '16,30 SEP '16,30 JUN '16,31 MAR '16,31 DEC '15,30 SEP '15,30 JUN '15,31 MAR '15,31 DEC '14,30 SEP '14,30 JUN '14,31 MAR '14,31 DEC '13,30 SEP '13,30 JUN '13,31 MAR '13,31 DEC '12,30 SEP '12,30 JUN '12,31 MAR '12,31 DEC '11,30 SEP '11,30 JUN '11,31 MAR '11,31 DEC '10,30 SEP '10,30 JUN '10,31 MAR '10,31 DEC '09,30 SEP '09,30 JUN '09,31 MAR '09,31 DEC '08,31 DEC '07,31 DEC '06,31 DEC '05
,PRELIM,,,,,,,RECAP,,,,RECAP,,,,RECAP,,PRELIM,PRELIM,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,,,,RECAP,RECAP,RECAP,RECAP
All other intangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,5","3,7","3,8",,"3,8","4,4","4,8"
Other assets included at fair value and assets pledged,"195,0","192,3","178,4","178,2","175,9","168,0","162,9","159,3","150,8","151,3","181,8","182,9","183,5","200,2","188,7","181,5","175,1","209,3","200,2","151,5","145,2","138,2","171,8","130,4","123,0","120,1","118,2","121,0","115,9","118,8","118,1","113,6","104,4","106,7","107,6","112,1","108,9","109,9","108,7","105,6","103,4","101,5","99,8","102,1","100,6","100,6","102,6","110,1","111,3","111,4","102,1","101,8","100,8","105,6","102,6","104,1","109,3","108,1","106,8","105,3","114,2","110,4","109,0","107,1","104,0","118,5","106,4","111,2","74,3","58,1","54,6"
Private equity investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,4"
Other assets other assets included at fair value and assets pledged  excluding private equity investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,2"
Total liabilities and stockholders' equity,"4.560,2","4.552,5","4.357,9","4.002,8","4.210,0","4.143,0","4.090,7","3.875,4","3.898,3","3.868,2","3.744,3","3.665,7","3.773,9","3.841,3","3.954,7","3.743,6","3.757,6","3.684,3","3.689,3","3.384,8","3.246,1","3.213,1","3.139,4","2.687,4","2.764,7","2.727,4","2.737,2","2.622,5","2.615,2","2.590,1","2.609,8","2.533,6","2.563,1","2.563,2","2.546,3","2.491,0","2.521,0","2.466,1","2.423,8","2.351,7","2.417,1","2.449,6","2.577,1","2.572,3","2.527,0","2.520,3","2.477,0","2.415,7","2.463,3","2.439,5","2.389,3","2.359,1","2.321,3","2.290,1","2.320,3","2.265,8","2.289,2","2.246,8","2.198,2","2.117,6","2.141,6","2.014,0","2.135,8","2.032,0","2.041,0","2.026,6","2.079,2","2.175,1","1.562,1","1.351,5","1.198,9"
Total liabilities,"4.200,0","4.195,6","4.006,4","3.658,1","3.864,2","3.802,5","3.754,1","3.547,5","3.581,0","3.555,7","3.441,2","3.373,4","3.485,9","3.555,2","3.668,8","3.449,4","3.467,5","3.397,9","3.408,6","3.105,4","2.975,0","2.948,6","2.878,2","2.426,0","2.500,3","2.464,2","2.477,4","2.366,0","2.356,2","2.332,6","2.353,6","2.277,9","2.304,7","2.304,7","2.290,4","2.236,8","2.266,7","2.213,7","2.173,7","2.104,1","2.171,4","2.208,4","2.341,3","2.340,5","2.295,7","2.293,0","2.257,3","2.204,5","2.256,6","2.230,3","2.182,3","2.155,1","2.121,6","2.098,6","2.130,6","2.082,2","2.107,0","2.063,9","2.017,6","1.941,5","1.967,8","1.842,9","1.971,1","1.866,6","1.878,8","1.871,9","1.909,0","2.008,2","1.438,9","1.235,7","1.091,7"
Deposits,"2.548,5","2.562,4","2.495,9","2.406,0","2.430,8","2.396,5","2.428,4","2.400,7","2.379,5","2.399,0","2.377,3","2.340,2","2.408,6","2.471,5","2.561,2","2.462,3","2.402,4","2.305,2","2.278,1","2.144,3","2.001,4","1.931,0","1.836,0","1.562,4","1.525,3","1.524,4","1.493,4","1.470,7","1.458,8","1.452,1","1.487,0","1.444,0","1.439,0","1.439,5","1.423,0","1.375,2","1.376,1","1.331,0","1.321,8","1.279,7","1.273,1","1.287,3","1.367,9","1.363,4","1.334,5","1.319,8","1.282,7","1.287,8","1.281,1","1.203,0","1.202,5","1.193,6","1.139,6","1.115,9","1.128,5","1.127,8","1.092,7","1.048,7","995,8","930,4","903,1","887,8","925,3","938,4","868,0","866,5","907,0","1.009,3","740,7","638,8","555,0"
U.S. offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"423,4"
Noninterest-bearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"135,6"
Interest-bearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"287,8"
Non-U.S. offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131,6"
Noninterest-bearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,5"
Interest-bearing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"124,1"
Federal funds purchased and securities loaned or sold under repurchase agreements,"567,6","595,3","533,0","296,8","389,3","400,8","325,7","216,5","268,8","266,3","246,4","202,6","239,9","222,7","223,9","194,3","254,9","245,4","304,0","215,2","236,4","235,6","233,2","183,7","247,8","201,7","222,7","182,3","181,6","175,3","179,1","158,9","169,4","165,6","183,3","165,7","168,5","166,0","161,0","152,7","180,3","180,9","196,6","192,1","198,7","216,6","217,4","181,2","218,7","259,0","248,2","240,1","257,2","261,7","250,5","213,5","238,6","254,1","285,4","276,6","314,2","237,5","295,2","261,4","310,2","300,9","279,8","192,5","154,4","162,2","125,9"
Short-term borrowings,"69,4","65,3","65,0","52,9","50,6","47,3","46,3","44,7","45,5","41,0","42,2","44,0","47,9","58,4","57,6","53,6","50,4","51,9","55,0","45,2","42,0","48,0","51,9","40,9","48,9","59,9","71,3","69,3","64,6","63,9","62,7","51,8","54,0","53,1","39,3","34,4","36,7","37,2","37,2","36,7","46,8","72,3","84,7","96,6","91,9","98,5","92,8","85,8","84,2","87,0","86,0","82,0","77,7","72,3","77,9","73,5","80,4","81,4","82,7","69,7","90,3","85,5","99,5","97,5","104,7","116,7","145,3","170,2","78,4","36,9","24,3"
Commercial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,2","22,2","14,9",,"12,3","17,3","17,5","15,6","19,7","42,2","55,7","66,3","60,0","63,8","60,8","57,8","53,7","56,6","58,8","55,4","55,5","50,6","50,6","51,6","51,1","51,2","46,0","35,4","38,6","41,1","50,6","41,8","53,9","42,7","33,1","37,8","49,6","18,8","13,9"
Other borrowed funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,7","30,9","24,3",,"24,5","19,9","19,7","21,1","27,2","30,1","29,0","30,2","31,9","34,7","32,0","28,0","30,4","30,4","27,2","26,6","22,3","21,7","27,3","21,9","29,3","30,2","36,7","34,3","51,6","44,4","49,0","55,7","50,8","74,0","112,3","132,4","28,8","18,1","10,5"
Trading liabilities,"242,3","221,4","187,1","192,9","243,3","240,8","228,3","180,4","207,5","178,8","189,9","178,0","189,9","190,3","202,1","164,7","179,5","183,9","191,3","170,2","162,5","165,2","184,2","119,3","138,3","147,6","156,9","144,8","151,2","149,8","136,5","123,7","128,5","133,4","135,5","136,7","143,3","159,0","147,3","126,9","141,5","139,4","158,3","152,8","143,3","138,7","140,6","137,7","148,1","148,6","125,7","131,9","144,9","147,1","146,0","141,7","155,8","148,5","141,4","146,2","157,8","134,9","141,0","125,1","134,4","123,2","139,8","166,9","157,9","148,0","145,9"
Debt and equity instruments,"195,9",,,,,,,,,,,,,,,,,"127,8","130,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derivative payables,"46,4",,,,,,,,,,,,,,,,,"56,0","60,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts payable and other liabilities,"316,9","303,6","293,5","280,7","314,4","295,8","301,5","290,3","292,1","286,9","275,1","300,1","300,0","313,3","320,7","262,8","268,6","297,1","285,1","231,3","234,3","230,9","253,9","210,4","225,1","216,1","216,2","196,7","209,7","197,0","192,3","189,4","196,8","189,2","183,2","190,5","190,4","184,6","176,9","177,6","188,0","191,7","202,2","206,9","211,1","203,9","202,5","194,5","212,3","211,4","193,1","195,2","203,0","207,1","204,1","202,9","199,8","184,5","171,6","170,3","169,4","160,5","154,2","162,7","171,4","171,7","165,5","188,0","94,5","88,1","78,5"
Beneficial interests issued by consolidated variable interest entities,"28,2","27,7","24,7","27,3","25,7","27,1","28,1","23,0","24,9","19,6","14,9","12,6","12,1","10,6","10,1","10,8","13,3","14,4","15,7","17,6","19,2","20,8","19,6","17,8","18,5","25,6","26,0","20,2","20,2","21,3","21,6","26,1","28,4","30,9","36,7","39,0","42,2","40,2","38,7","41,9","48,7","50,0","51,1","52,3","47,6","45,7","46,8","49,6","48,9","55,1","58,3","63,2","57,9","55,1","67,8","66,0","66,0","67,5","70,9","77,6","77,4","88,1","93,1","15,2","17,9","20,9","9,7","10,6","14,0","16,2","42,2"
Long-term debt,"427,2","419,8","407,2","401,4","410,2","394,0","395,9","391,8","362,8","364,1","295,5","295,9","287,5","288,2","293,2","301,0","298,5","299,9","279,4","281,7","279,2","317,0","299,3","291,5","296,5","288,9","290,9","282,0","270,1","273,1","274,4","284,1","288,6","293,0","289,5","295,2","309,4","295,6","290,8","288,7","292,9","286,7","280,6","276,4","268,7","269,9","274,5","267,9","263,4","266,2","268,4","249,0","241,1","239,5","255,8","256,8","273,7","279,2","269,6","270,7","255,6","248,6","262,9","266,3","272,1","271,9","261,8","270,7","199,0","145,6","119,9"
Long-term debt excluding junior subordinated deferrable interest debentures held by trusts that issued guaranteed capital debt securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"254,4","254,2","243,6",,"183,9","133,4","108,4"
Junior subordinated deferrable interest debentures held by trusts that issued guaranteed capital debt securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,7","17,7","18,3",,"15,1","12,2","11,5"
Total stockholders' equity,"360,2","356,9","351,4","344,8","345,8","340,6","336,6","327,9","317,4","312,5","303,1","292,3","288,0","286,1","285,9","294,1","290,0","286,4","280,7","279,4","271,1","264,5","261,3","261,3","264,3","263,2","259,8","256,5","259,0","257,5","256,2","255,7","258,4","258,5","255,9","254,2","254,3","252,4","250,2","247,6","245,7","241,2","235,9","231,7","231,3","227,3","219,7","211,2","206,7","209,2","207,1","204,1","199,7","191,6","189,7","183,6","182,3","182,9","180,6","176,1","173,8","171,1","164,7","165,4","162,3","154,8","170,2","166,9","123,2","115,8","107,2"
Preferred stock,"20,0","20,0","20,0","20,1","21,7","23,9","29,9","27,4","27,4","27,4","27,4","27,4","32,8","32,8","32,8","34,8","34,8","32,8","31,6","30,1","30,1","30,1","30,1","27,0","28,4","27,0","27,0","26,1","27,8","26,1","26,1","26,1","26,1","26,1","26,1","26,1","26,1","26,1","26,1","26,1","26,1","24,9","21,5","20,1","20,1","18,5","15,1","11,2","11,2","11,5","10,0","9,1","9,1","7,8","7,8","7,8","7,8","7,8","7,8","7,8","7,8","8,2","8,2","8,2","8,2","8,2","32,0","31,9","0,0","0,0","0,1"
Common stock,"4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","4,1","3,9","3,9","3,7","3,7","3,6"
Additional paid-in capital,"90,9","90,6","90,2","90,9","90,6","90,3","89,9","90,1","89,9","89,6","89,2","89,0","88,9","88,6","88,3","88,4","88,4","88,2","88,0","88,4","88,3","88,1","87,9","88,5","88,5","88,4","88,2","89,2","89,3","89,4","89,2","90,6","90,7","90,6","90,4","91,6","92,1","92,0","91,8","92,5","92,3","92,2","92,2","93,3","93,1","92,9","92,6","93,8","93,6","93,4","93,2","94,6","94,4","94,2","94,1","95,6","95,1","95,1","94,7","97,4","96,9","96,7","96,5","98,0","97,6","97,7","91,5","92,1","78,6","77,8","75,0"
Retained earnings,"407,4","397,4","386,6","376,2","366,0","356,9","342,4","332,9","327,0","317,4","306,2","296,5","288,8","282,4","277,2","272,3","265,3","257,0","248,2","237,0","228,0","221,7","220,2","223,2","217,9","212,1","205,4","199,2","195,2","189,9","183,9","177,7","175,8","171,5","166,7","162,4","157,9","153,7","149,7","146,4","143,1","138,3","134,0","130,0","127,2","123,5","119,3","115,8","112,1","114,2","109,4","104,2","99,9","95,5","92,3","88,3","85,7","82,6","78,3","74,0","69,5","65,5","61,0","62,5","59,6","56,4","55,5","54,0","54,7","43,6","33,8"
Accumulated other comprehensive income / loss,"-5,9","-7,2","-9,1","-12,5","-6,8","-11,3","-11,6","-10,4","-17,1","-14,3","-14,4","-17,3","-19,1","-14,4","-9,6","-0,1","1,0","2,6","1,0","8,0","8,9","8,8","7,4","1,6","1,8","1,1","-0,6","-1,5","-2,4","-1,1","-1,1","-0,1","-0,3","-0,4","-0,9","-1,2","1,5","1,6","0,8","0,2","0,8","1,1","2,4","2,2","3,3","3,4","2,3","1,2","0,4","0,1","3,5","4,1","4,4","2,3","2,6","0,9","2,0","1,6","0,7","1,0","3,1","2,4","0,8","-0,1","0,3","-3,4","-4,5","-5,7","-0,9","-1,6","-0,6"
"Shares held in RSU Trust, at cost",,,,,,,,,,,,,,,,,,,,,"-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,0","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,1","-0,2","0,0",,
"Treasury stock, at cost","-156,3","-148,0","-140,5","-134,0","-129,7","-123,4","-118,0","-116,2","-114,0","-111,6","-109,4","-107,3","-107,4","-107,5","-106,9","-105,4","-103,5","-98,3","-92,2","-88,2","-88,3","-88,3","-88,4","-83,0","-76,3","-69,4","-64,3","-60,5","-55,0","-50,8","-46,0","-42,6","-38,0","-33,4","-30,4","-28,9","-27,3","-25,1","-22,3","-21,7","-20,5","-19,4","-18,4","-17,9","-16,4","-15,0","-13,7","-14,8","-14,7","-14,1","-13,0","-12,0","-12,2","-12,3","-11,2","-13,2","-12,3","-8,3","-5,0","-8,2","-7,6","-5,7","-5,7","-7,2","-7,3","-8,0","-8,1","-9,2","-12,8","-7,7","-4,8"
All figures in billions of U.S. Dollar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
