Index,Percent Change (%)
0,-0.03
1,-0.57
2,0.54
3,1.29
4,0.05
5,0.4
6,1.23
7,2.0
8,0.15
9,-1.0
10,-1.74
11,1.61
12,-0.33
13,-2.34
14,1.2
15,-1.91
16,2.35
17,-1.52
18,0.49
19,-1.19
20,-0.48
21,0.21
22,0.81
23,-1.02
24,-1.5
25,-0.08
26,-0.12
27,0.83
28,0.01
29,0.22
30,0.1
31,-0.74
32,0.49
33,0.47
34,0.83
35,0.09
36,0.65
37,0.44
38,1.67
39,0.9
40,1.69
41,-0.5
42,-3.11
43,1.44
44,-0.06
45,-0.57
46,0.12
47,0.6
48,0.24
49,1.24
50,-0.45
51,1.64
52,-0.26
53,0.54
54,-0.3
55,0.36
56,-1.25
57,1.25
58,-0.79
59,1.14
60,0.28
61,0.63
62,-1.51
63,-0.01
64,-0.98
65,1.69
66,-2.32
67,-1.13
68,0.87
69,-0.42
70,-0.11
71,0.7
72,-0.07
73,1.83
74,0.16
75,-0.1
76,0.47
77,1.43
78,-0.25
79,-0.74
80,0.64
81,-0.46
82,1.78
83,0.13
84,-3.15
85,-1.36
86,1.85
87,0.55
88,0.17
89,0.98
90,-0.57
91,1.65
92,1.0
93,1.07
94,1.19
95,0.38
96,1.65
97,-0.31
98,2.04
99,-1.23
100,0.03
101,-0.17
102,0.7
103,0.38
104,1.44
105,-0.86
106,-0.77
107,0.61
108,0.25
109,-0.14
110,0.33
111,-0.68
112,1.76
113,0.02
114,-0.14
115,-1.75
116,0.3
117,-1.0
118,0.03
119,0.7
120,1.0
121,1.14
122,2.75
123,-0.15
124,1.64
125,0.06
126,-1.31
127,0.02
128,2.28
129,0.93
130,0.58
131,-0.14
132,-0.45
133,1.56
134,2.25
135,2.88
136,-1.28
137,1.02
138,-1.51
139,-0.68
140,-0.63
141,4.0
142,-3.09
143,8.06
144,1.13
145,1.98
146,-7.44
147,-6.97
148,0.89
149,-0.67
150,1.01
151,-2.12
152,-1.16
153,-0.04
154,1.24
155,2.66
156,1.1
157,-0.04
158,1.76
159,0.44
160,0.64
161,3.22
162,-1.19
163,-0.54
164,-1.33
165,-4.15
166,-1.73
167,-1.98
168,0.51
169,-3.98
170,-1.52
171,2.16
172,0.1
173,0.54
174,-1.51
175,-1.1
176,-0.96
177,-4.46
178,-0.25
179,1.21
180,0.1
181,0.32
182,0.17
183,1.46
184,-1.73
185,-0.4
186,2.39
187,0.93
188,0.42
189,-0.18
190,-0.35
191,0.62
192,-0.21
193,0.49
194,0.38
195,-0.42
196,1.18
197,-0.07
198,1.49
199,1.92
200,0.76
201,1.97
202,1.33
203,1.81
204,-1.34
205,-0.02
206,0.96
207,-0.49
208,1.37
209,0.12
210,0.16
211,-0.77
212,-0.81
213,0.34
214,1.64
215,0.33
216,1.99
217,1.12
218,-3.35
219,-0.51
220,-0.15
221,-0.66
222,-0.82
223,0.28
224,-0.39
225,-1.44
226,0.77
227,0.85
228,-0.58
229,-0.58
230,-1.39
231,-0.03
232,-0.07
233,-0.13
234,0.7
235,1.55
236,1.65
237,-0.95
238,-0.79
239,-0.11
240,1.42
241,0.29
242,0.67
243,0.11
244,0.97
245,0.25
246,-4.32
247,11.54
248,0.78
249,-1.42
250,0.46
251,-1.11
252,0.68
253,-1.15
254,1.43
255,-1.19
256,0.7
257,-0.32
258,0.5
259,-1.05
260,0.42
261,0.35
262,0.56
263,0.41
264,-0.36
265,4.44
266,-0.27
267,1.27
268,-0.09
269,-0.14
270,3.53
271,-0.99
272,0.12
273,-1.81
274,0.17
275,0.34
276,-0.2
277,-0.66
278,0.07
279,0.17
280,0.29
281,1.42
282,-0.82
283,0.67
284,1.73
285,-1.1
286,-0.3
287,0.81
288,-5.19
289,2.05
290,-2.38
291,-0.78
292,-0.44
293,-2.0
294,1.17
295,0.42
296,0.5
297,0.46
298,0.39
299,0.78
300,0.95
301,0.04
302,-0.43
303,0.69
304,1.14
305,0.62
306,1.11
307,0.85
308,0.19
309,0.85
310,1.83
311,0.03
312,2.79
313,-2.13
314,-4.24
315,-2.27
316,-1.11
317,2.06
318,-0.65
319,1.71
320,0.04
321,-0.83
322,0.02
323,0.24
324,-0.1
325,-3.18
326,1.52
327,1.7
328,2.49
329,-1.21
330,-0.17
331,0.08
332,1.2
333,0.19
334,-1.32
335,-0.07
336,1.65
337,1.58
338,1.55
339,0.88
340,-0.32
341,-0.41
342,1.31
343,-1.19
344,0.85
345,1.04
346,0.62
347,0.06
348,1.11
349,-1.46
350,-2.63
351,-0.17
352,1.54
353,-0.18
354,-0.95
355,-1.32
356,-0.4
357,1.66
358,0.62
359,-0.7
360,-0.6
361,1.92
362,-0.7
363,-0.61
364,2.01
365,-4.5
366,1.15
367,0.18
368,0.3
369,1.4
370,-0.02
371,0.64
372,0.95
373,2.03
374,-0.13
375,0.78
376,-0.6
377,-0.1
378,0.06
379,-0.8
380,-0.11
381,0.06
382,0.15
383,0.49
384,1.44
385,1.94
386,2.51
387,0.65
388,-0.4
389,-1.14
390,0.05
391,-6.47
392,-0.02
393,-0.85
394,-0.67
395,0.52
396,0.92
397,-0.76
398,-0.28
399,-0.04
400,-0.68
401,0.39
402,1.94
403,0.47
404,-0.92
405,-1.23
406,1.39
407,1.31
408,0.59
409,1.24
410,1.24
411,-1.78
412,0.81
413,0.82
414,0.04
415,0.19
416,-0.88
417,0.52
418,1.0
419,0.75
420,-0.41
421,0.91
422,0.51
423,0.05
424,-0.34
425,0.5
426,1.2
427,0.65
428,0.39
429,-0.47
430,2.18
431,1.02
432,-0.87
433,0.45
434,0.12
435,-0.36
436,0.19
437,0.34
438,-0.13
439,0.58
440,-0.36
441,-1.08
442,2.05
443,0.26
444,-0.38
445,1.43
446,0.89
447,-0.66
448,-0.12
449,1.73
450,0.2
451,-0.54
452,-0.63
453,-0.73
454,-0.42
455,0.21
456,-0.79
457,-0.15
458,0.5
459,0.66
460,-0.44
461,1.16
462,-0.12
463,0.53
464,0.6
465,0.59
466,-0.06
467,0.57
468,-1.13
469,1.34
470,0.61
471,0.76
472,1.82
473,0.34
474,0.89
475,0.37
476,1.1
477,0.31
478,-1.05
479,-0.01
480,0.73
481,0.49
482,1.14
483,0.51
484,0.23
485,-0.23
486,0.14
487,0.24
488,-0.21
489,0.31
490,0.9
491,1.14
492,0.88
493,1.82
494,-0.44
495,1.48
496,-0.3
497,0.49
498,-0.05
499,0.76
500,1.12
501,1.78
502,-0.09
503,1.19
504,1.27
505,-3.6
506,0.26
507,-0.55
508,0.12
509,-1.36
510,-1.61
511,-0.42
512,-1.1
513,-0.22
514,-0.1
515,1.5
516,-0.23
517,0.34
518,0.61
519,-0.23
520,1.54
521,0.42
522,0.45
523,-0.74
524,-0.86
525,-1.74
526,1.24
527,0.59
528,-1.04
529,0.49
530,-0.96
531,-0.78
532,-0.42
533,-0.13
534,0.21
535,-0.29
536,1.94
537,0.05
538,1.3
539,0.44
540,0.08
541,-0.86
542,-0.17
543,-1.1
544,0.33
545,-1.24
546,-0.4
547,0.81
548,0.35
549,-0.12
550,-0.09
551,0.68
552,-2.07
553,0.34
554,0.23
555,-1.04
556,-0.42
557,-2.55
558,0.21
559,0.58
560,-0.15
561,-1.34
562,-0.56
563,0.47
564,-0.21
565,0.61
566,-1.13
567,-0.49
568,0.67
569,0.57
570,-1.1
571,0.6
572,-0.75
573,1.97
574,-0.77
575,1.23
576,0.38
577,0.18
578,2.41
579,0.6
580,0.49
581,0.5
582,1.56
583,0.56
584,0.79
585,-0.99
586,-0.66
587,0.8
588,1.4
589,3.49
590,-0.44
591,0.01
592,0.24
593,-0.52
594,-1.93
595,-0.15
596,-0.51
597,0.12
598,1.13
599,-0.37
600,0.72
601,-0.01
602,0.2
603,0.03
604,0.97
605,0.18
606,-0.98
607,2.1
608,1.38
609,-1.27
610,0.38
611,0.94
612,0.24
613,-0.92
614,-1.04
615,-0.83
616,-0.23
617,0.76
618,3.07
619,-0.67
620,0.84
621,-1.43
622,-0.32
623,0.05
624,-0.48
625,0.24
626,1.95
627,-1.37
628,-2.12
629,-1.61
630,2.14
631,0.87
632,1.35
633,-1.77
634,-2.17
635,0.14
636,-0.19
637,-0.29
638,-0.13
639,1.12
640,0.79
641,7.55
642,0.38
643,-0.02
644,0.49
645,0.33
646,-0.11
647,0.15
648,-1.34
649,-0.12
650,1.21
651,-0.3
652,0.2
653,0.3
654,2.87
655,-1.52
656,-0.27
657,-2.58
658,2.68
659,1.06
660,-3.78
661,1.94
662,-4.72
663,2.57
664,-1.8
665,2.54
666,-5.41
667,-0.59
668,-2.94
669,-0.58
670,1.84
671,-1.04
672,-0.56
673,0.84
674,0.87
675,0.9
676,0.8
677,-0.77
678,-1.83
679,0.3
680,-1.38
681,0.42
682,0.44
683,1.08
684,0.44
685,-1.56
686,-0.7
687,1.22
688,0.59
689,1.55
690,-0.47
691,-0.26
692,0.6
693,-0.85
694,0.24
695,0.62
696,0.48
697,0.86
698,1.62
699,0.24
700,-1.33
701,-3.0
702,-1.55
703,2.52
704,-0.1
705,0.74
706,0.9
707,-0.41
708,1.91
709,-0.02
710,0.93
711,0.76
712,0.66
713,0.57
714,0.55
715,0.35
716,0.47
717,-1.13
718,1.12
719,0.48
720,0.6
721,-0.62
722,-2.48
723,-0.5
724,-0.1
725,1.55
726,-0.54
727,1.05
728,-0.07
729,0.17
730,-2.8
731,-0.79
732,-1.4
733,1.19
734,1.64
735,-1.75
736,0.19
737,1.07
738,1.5
739,-0.59
740,0.98
741,-0.44
742,0.14
743,-0.72
744,-1.03
745,0.16
746,4.12
747,-1.3
748,0.06
749,0.53
750,2.74
751,0.18
752,-0.92
753,1.8
754,-0.16
755,1.19
756,0.39
757,1.15
758,0.26
759,0.12
760,5.25
761,-0.33
762,-1.96
763,2.57
764,4.2
765,1.66
766,5.56
767,1.62
768,-2.89
769,-0.93
770,-2.0
771,-2.04
772,-1.22
773,4.68
774,3.09
775,-1.56
776,-1.69
777,2.02
778,-0.88
779,-2.15
780,-1.86
781,-1.14
782,-2.88
783,-1.97
784,0.92
785,-0.67
786,1.51
787,-0.23
788,-3.47
789,1.18
790,0.48
791,2.33
792,1.9
793,0.03
794,-0.7
795,0.69
796,-0.59
797,0.02
798,-0.24
799,-3.27
800,2.37
801,0.24
802,-0.99
803,-1.65
804,-2.47
805,-0.77
806,-0.84
807,0.96
808,0.27
809,1.66
810,1.48
811,2.61
812,0.9
813,-1.22
814,3.03
815,-1.1
816,1.05
817,-1.56
818,-1.0
819,0.48
820,-0.37
821,1.6
822,-1.56
823,0.4
824,-0.49
825,0.68
826,-0.02
827,2.48
828,-1.03
829,4.58
830,-3.49
831,-0.94
832,0.1
833,-1.31
834,-0.31
835,2.53
836,-0.65
837,-0.38
838,1.28
839,-2.33
840,-0.45
841,-0.48
842,-0.8
843,2.98
844,-1.09
845,-0.56
846,2.48
847,-0.35
848,-1.72
849,1.18
850,-1.66
851,-2.98
852,-4.6
853,-2.1
854,-1.59
855,0.26
856,-0.33
857,-1.39
858,1.61
859,-1.75
860,0.73
861,1.41
862,1.73
863,0.7
864,1.41
865,6.19
866,-0.82
867,-1.48
868,-1.71
869,3.31
870,-0.7
871,0.89
872,-0.08
873,-0.63
874,-2.44
875,-1.5
876,-0.16
877,-2.5
878,3.31
879,2.14
880,0.91
881,-3.23
882,1.58
883,-1.3
884,-2.96
885,-0.03
886,-2.87
887,-0.78
888,0.35
889,2.07
890,1.86
891,-0.93
892,-3.22
893,-1.1
894,-0.37
895,1.83
896,-0.3
897,-1.39
898,-1.16
899,0.44
900,-0.74
901,-3.0
902,-0.45
903,0.22
904,-0.74
905,0.87
906,0.65
907,-1.99
908,2.13
909,-0.32
910,-0.04
911,1.26
912,4.47
913,1.77
914,0.99
915,-2.25
916,-1.18
917,4.01
918,-0.7
919,-3.86
920,-2.81
921,-0.71
922,2.07
923,-3.77
924,-4.17
925,2.37
926,-2.78
927,-2.09
928,-0.18
929,0.47
930,-2.3
931,0.18
932,1.46
933,-0.93
934,-1.3
935,-0.42
936,0.42
937,1.88
938,0.33
939,2.6
940,-0.83
941,-0.8
942,1.72
943,1.36
944,0.89
945,-1.76
946,0.95
947,1.09
948,-0.09
949,-1.75
950,-0.85
951,-1.55
952,-4.19
953,-6.15
954,-0.12
955,0.57
956,0.1
957,0.1
958,0.99
959,1.06
960,-1.82
961,3.79
962,2.12
963,-0.08
964,-0.05
965,-0.05
966,0.3
967,0.57
968,0.36
969,0.39
970,1.4
971,-1.8
972,-2.28
973,1.56
974,-0.75
975,0.77
976,-1.19
977,-0.4
978,-0.16
979,-1.14
980,1.5
981,1.18
982,-1.81
983,2.1
984,-0.59
985,-1.49
986,-0.43
987,-3.01
988,-0.78
989,2.39
990,2.13
991,-1.31
992,-0.86
993,-0.54
994,-0.72
995,-0.18
996,-0.45
997,-0.01
998,-0.1
999,-0.76
1000,0.6
1001,-0.14
1002,-1.31
1003,0.04
1004,0.39
1005,-0.05
1006,-0.28
1007,1.51
1008,-2.08
1009,0.27
1010,-0.49
1011,1.35
1012,-0.78
1013,1.35
1014,1.21
1015,-0.04
1016,1.92
1017,1.53
1018,-2.64
1019,-0.77
1020,-2.1
1021,0.08
1022,0.63
1023,0.21
1024,1.62
1025,-0.11
1026,2.1
1027,-1.36
1028,-0.08
1029,-0.54
1030,2.42
1031,1.15
1032,3.38
1033,1.92
1034,0.01
1035,-2.99
1036,-0.26
1037,-0.04
1038,0.69
1039,-1.75
1040,1.59
1041,-1.15
1042,0.44
1043,-0.45
1044,-0.18
1045,-0.6
1046,0.46
1047,-0.14
1048,-0.31
1049,-1.6
1050,0.8
1051,0.52
1052,2.06
1053,0.62
1054,1.28
1055,0.29
1056,-0.84
1057,-0.91
1058,-1.21
1059,-0.66
1060,-1.12
1061,0.39
1062,1.19
1063,1.23
1064,-0.11
1065,2.84
1066,1.26
1067,-1.08
1068,1.14
1069,-0.4
1070,-0.8
1071,0.86
1072,0.17
1073,-0.13
1074,0.67
1075,-0.19
1076,-1.26
1077,2.1
1078,1.86
1079,-3.25
1080,-2.28
1081,0.22
1082,-0.34
1083,-1.49
1084,1.43
1085,3.2
1086,-1.73
1087,0.12
1088,-1.68
1089,-0.1
1090,0.99
1091,0.91
1092,-0.12
1093,0.18
1094,1.01
1095,0.92
1096,0.61
1097,-0.15
1098,1.7
1099,-2.53
1100,-2.89
1101,0.7
1102,-1.52
1103,-1.7
1104,-0.07
1105,-1.56
1106,-1.25
1107,-0.4
1108,-0.47
1109,0.16
1110,0.07
1111,0.01
1112,1.1
1113,-0.07
1114,1.56
1115,-0.01
1116,-1.03
1117,0.54
1118,1.14
1119,-0.17
1120,-0.76
1121,-1.41
1122,0.4
1123,1.55
1124,2.57
1125,-0.69
1126,-1.66
1127,-0.01
1128,0.34
1129,2.01
1130,1.31
1131,1.38
1132,-0.29
1133,-0.89
1134,1.94
1135,0.65
1136,0.46
1137,0.25
1138,1.91
1139,-2.11
1140,0.85
1141,-2.21
1142,-0.42
1143,0.74
1144,0.63
1145,-1.87
1146,-1.19
1147,-0.21
1148,0.75
1149,0.12
1150,1.57
1151,-0.7
1152,0.53
1153,0.97
1154,-1.46
1155,1.18
